event_id,floor,artist_name,set_time_start,set_time_end
1006,Berghain,Boddika,2014-07-11T04:30:00Z,2014-07-11T06:30:00Z
1006,Berghain,Barker vs. Puzzle,2014-07-11T06:30:00Z,2014-07-11T14:30:00Z
1006,Berghain,N>E>D,2014-07-11T23:59:00Z,2014-07-11T02:30:00Z
1009,Berghain,Occupanther,2014-06-23T20:00:00Z,2014-06-23T21:00:00Z
1009,Berghain,Banks,2014-06-23T21:00:00Z,2014-06-24T05:00:00Z
101,Garten,Matthew Styles & Andre Galluzzi & Dinky,2010-07-17T12:00:00Z,2010-07-17T20:00:00Z
101,Panorama Bar,Oleg Poliakov,2010-07-17T00:00:00Z,2010-07-17T04:00:00Z
101,Panorama Bar,Nicolas Jaar,2010-07-17T04:00:00Z,2010-07-17T05:00:00Z
101,Panorama Bar,Sety,2010-07-17T05:00:00Z,2010-07-17T08:00:00Z
101,Panorama Bar,Deetron,2010-07-17T08:00:00Z,2010-07-17T16:00:00Z
101,Berghain,Nic Fanciulli,2010-07-17T00:00:00Z,2010-07-17T05:00:00Z
101,Berghain,Phil Kieran,2010-07-17T05:00:00Z,2010-07-17T06:00:00Z
101,Berghain,Gregor Tresher,2010-07-17T06:00:00Z,2010-07-17T09:00:00Z
101,Berghain,Fiedel,2010-07-17T09:00:00Z,2010-07-17T17:00:00Z
1010,Kantine am Berghain,Kick 'n' Rush,2014-06-19T00:30:00Z,2014-06-19T08:30:00Z
1010,Kantine am Berghain,Martin Hossbach x Shaun Mulrooney,2014-06-19T21:00:00Z,2014-06-19T21:45:00Z
1010,Kantine am Berghain,Camera,2014-06-19T21:45:00Z,2014-06-19T22:45:00Z
1010,Kantine am Berghain,Brace/Choir,2014-06-19T23:00:00Z,2014-06-19T00:30:00Z
1012,Kantine am Berghain,DJ Pushansky,2014-11-26T20:00:00Z,2014-11-26T21:00:00Z
1012,Kantine am Berghain,Adi Ulmansky,2014-11-26T21:00:00Z,2014-11-26T21:45:00Z
1012,Kantine am Berghain,Number Ten,2014-11-26T21:45:00Z,2014-11-26T22:00:00Z
1012,Kantine am Berghain,Kate Tempest,2014-11-26T22:00:00Z,2014-11-26T23:00:00Z
1013,Kantine am Berghain,TULA,2014-10-10T21:00:00Z,2014-10-10T21:45:00Z
1013,Kantine am Berghain,Kadebostany,2014-10-10T22:00:00Z,2014-10-11T06:00:00Z
1014,Kantine am Berghain,Snow Forest,2014-09-12T20:00:00Z,2014-09-12T20:45:00Z
1014,Kantine am Berghain,Smoke Fairies,2014-09-12T21:00:00Z,2014-09-13T05:00:00Z
1015,Panorama Bar,Jimmy Edgar,2014-07-24T01:00:00Z,2014-07-24T03:00:00Z
1015,Panorama Bar,Chambray,2014-07-24T03:00:00Z,2014-07-24T11:00:00Z
1015,Panorama Bar,Aden,2014-07-24T22:00:00Z,2014-07-24T01:00:00Z
1016,Kantine am Berghain,Lief Hall,2014-10-07T21:00:00Z,2014-10-07T21:45:00Z
1016,Kantine am Berghain,Bear In Heaven,2014-10-07T22:00:00Z,2014-10-08T06:00:00Z
1017,Kantine am Berghain,Majeure,2014-11-19T21:00:00Z,2014-11-19T21:45:00Z
1017,Kantine am Berghain,Trans Am,2014-11-19T22:00:00Z,2014-11-20T06:00:00Z
1019,Garten,Young Marco,2014-07-05T12:00:00Z,2014-07-05T16:00:00Z
1019,Garten,Tama Sumo,2014-07-05T16:00:00Z,2014-07-05T20:00:00Z
1019,Panorama Bar,Quarion,2014-07-05T00:00:00Z,2014-07-05T04:00:00Z
1019,Panorama Bar,Kuba Sojka,2014-07-05T04:00:00Z,2014-07-05T05:00:00Z
1019,Panorama Bar,Joakim,2014-07-05T05:00:00Z,2014-07-05T07:30:00Z
1019,Panorama Bar,Margaret Dygas,2014-07-05T07:30:00Z,2014-07-05T15:30:00Z
1019,Berghain,AnD,2014-07-05T00:00:00Z,2014-07-05T04:00:00Z
1019,Berghain,Sawlin & Subjected,2014-07-05T04:00:00Z,2014-07-05T05:00:00Z
1019,Berghain,Zeitgeber,2014-07-05T05:00:00Z,2014-07-05T09:00:00Z
1019,Berghain,Talismann,2014-07-05T09:00:00Z,2014-07-05T13:00:00Z
1019,Berghain,Cosmin TRG,2014-07-05T13:00:00Z,2014-07-05T17:00:00Z
1019,Berghain,Efdemin,2014-07-05T17:00:00Z,2014-07-05T21:00:00Z
1019,Berghain,Nick Höppner,2014-07-05T21:00:00Z,2014-07-06T05:00:00Z
1021,Garten,Cassy,2014-07-12T12:00:00Z,2014-07-12T15:00:00Z
